Title,Brand,Rating,Reviews,Price,Image URL,Product URL
Storio Toy Octopus Plushie Reversible Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls| Best Gift | Octopus Soft Toy for Kids -PurplePink,Storio,4.2,1680,179,https://m.media-amazon.com/images/I/51nqXz7iWrL._AC_UL320_.jpg,https://www.amazon.in/dp/B0D6Z1YPTZ
Babique Dog Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls White (25 cm),Babique,4.2,2651,169,https://m.media-amazon.com/images/I/51h6wRH0lpL._AC_UL320_.jpg,https://www.amazon.in/dp/B0B2F8XS9L
"Babique Elephant Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Blue, 30 cm)",Babique,4.2,2650,253,https://m.media-amazon.com/images/I/71sh-Yt3EmL._AC_UL320_.jpg,https://www.amazon.in/dp/B0BD5TR6FD
Amazon Brand - Jam & Honey Soft Penguin Plush Toy for Kids | Soft Toy for Boys and Girls | Super-Soft and Safe| Ideal for Gifting | Height 17 cm | Black and White,Amazon,4.4,13332,198,https://m.media-amazon.com/images/I/61A2ddWFQxL._AC_UL320_.jpg,https://www.amazon.in/dp/B0C46HFZX6
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 Cm, Yellow)",Babique,4.1,4740,169,https://m.media-amazon.com/images/I/51AWNa6+TOL._AC_UL320_.jpg,https://www.amazon.in/dp/B08LTGRJSV
Storio Toy Plushie Super Soft Toys for Kids | Adorable Plush Soft Toys for Baby Boys and Girls Kids - Penguine Black & White,Storio,4.2,1680,189,https://m.media-amazon.com/images/I/61ocDqkDeML._AC_UL320_.jpg,https://www.amazon.in/dp/B0CQG83Q12
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink)",Babique,4.2,9386,159,https://m.media-amazon.com/images/I/51C5TrSt-GL._AC_UL320_.jpg,https://www.amazon.in/dp/B08LTGVND9
Babique Nemo Fish Toy Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls -Orange (25 cm),Babique,4.2,2651,209,https://m.media-amazon.com/images/I/511vEf27jFL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CBZ6KL29
Babique Cat Flower Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(25 cm),Babique,4.0,1229,219,https://m.media-amazon.com/images/I/61QnIuUiOgL._AC_UL320_.jpg,https://www.amazon.in/dp/B0BFNYP192
"Niku Rabbit with Chain Reversible Bunny Rabbit Soft Stuffed Toys for Girls Boys Baby Kids | Doll, Teddy Bear plushies, Animal Toy | Strawberry/Carrot Shaped Pink Colour | Valentine's Gift",Niku,4.1,690,307,https://m.media-amazon.com/images/I/613ls1KV-HL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CPVNTZ4K
"Webby Plush Husky Dog Stuffed Animal Puppy Soft Toy, Adorable Gifts for Kids and Adult, Glitter Eyes Soft Toy, 35CM (Grey)",Webby,4.5,924,400,https://m.media-amazon.com/images/I/71A-WPv5q-L._AC_UL320_.jpg,https://www.amazon.in/dp/B0B42TFR9D
Babique Pluto Sitting Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (30 Cm),Babique,4.2,2335,309,https://m.media-amazon.com/images/I/61val7qNvyL._AC_UL320_.jpg,https://www.amazon.in/dp/B07ZJG1FGL
Storio Toy Super Cute Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids -Reversible Rabbit | Best Valentine Gift,Storio,4.2,1680,299,https://m.media-amazon.com/images/I/51XjmK41FjL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CQG947NZ
"Babique Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls/Baby (10 cm, Rattle Ball)",Babique,3.9,2983,110,https://m.media-amazon.com/images/I/61JLJWkVeQL._AC_UL320_.jpg,https://www.amazon.in/dp/B08PVYDSX1
"Niku Doll (30cm, Pink) | Soft Plush Doll Toy with Rabbit Ear, Teddy Bear, Best Gift Toy and Pillow for Kids, Girls and Adults | Valentines",Niku,4.1,690,295,https://m.media-amazon.com/images/I/51iaZJwi7yL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CR886N1T
